Date,RELIANCE.NS,RELI_Return,Excess_Market,Risk_Free_Rate,Excess_RELI,Combined,CPI_Shock,General Index,Monthly change IIP,InterestRate,Interest_Shock,USDINR,Monthly change in USD/INR exchange rate
2017-12-01,415.7500305175781,-0.0005425256472672,0.04468225591307,0.0047591918113194,-0.0053017174585866,137.2,-0.002906976744186,130.6,0.0381558028616852,7.35,0.1799999999999997,63.84080123901367,-0.008911015628729
2018-01-01,433.9183654785156,0.0437001410157908,-0.0054198157576351,0.0055468046088786,0.0381533364069121,136.9,-0.0021865889212826,132.3,0.0130168453292498,7.22,-0.1299999999999999,63.769901275634766,-0.001110574460265
2018-02-01,430.8714904785156,-0.0070217700894958,-0.0350501382770995,0.0047502946289512,-0.0117720647184469,136.4,-0.0036523009495982,127.4,-0.037037037037037,7.57,0.3500000000000005,64.91000366210938,0.0178783777874567
2018-03-01,398.4393310546875,-0.0752710730241393,-0.0526795304605604,0.0046667802503919,-0.0799378532745311,136.5,0.000733137829912,140.3,0.1012558869701727,7.61,0.04,65.0698013305664,0.0024618342234097
2018-04-01,434.8211364746094,0.0913107782899282,0.0651239927040439,0.0053817289871642,0.085929049302764,137.1,0.0043956043956043,122.6,-0.1261582323592303,7.55,-0.0600000000000005,66.61000061035156,0.0236699551603156
2018-05-01,415.8854370117188,-0.0435482497847624,-0.0411056462234618,0.0051989890988481,-0.0487472388836104,137.8,0.0051057622173598,129.6,0.0570962479608483,7.85,0.2999999999999998,67.43000030517578,0.0123104591999776
2018-06-01,438.9513244628906,0.0554621186471644,-0.0292136773613944,0.0050022328326155,0.0504598858145489,138.5,0.0050798258345428,127.7,-0.0146604938271603,7.94,0.0900000000000007,68.79669952392578,0.020268414838567
2018-07-01,535.344970703125,0.2195998528041429,0.046775460832396,0.0055688608141386,0.2140309919900043,139.8,0.0093862815884477,125.7,-0.0156617071260767,7.8,-0.1400000000000005,68.68499755859375,-0.001623652967439
2018-08-01,560.4647216796875,0.0469225496665637,0.0434034619734257,0.0055607947796487,0.041361754886915,140.4,0.004291845493562,128.0,0.0182975338106603,7.82,0.0200000000000004,71.40499877929688,0.039601096562357
2018-09-01,567.822265625,0.0131275772777674,-0.0806047248143229,0.0051598238157566,0.0079677534620108,140.2,-0.0014245014245015,128.8,0.00625,8.02,0.1999999999999993,72.51000213623047,0.0154751540623787
2018-10-01,479.0344543457031,-0.1563654978931981,-0.0586703736293538,0.0061472147542698,-0.1625127126474679,140.7,0.0035663338088445,132.8,0.0310559006211179,7.92,-0.0999999999999996,73.6500015258789,0.0157219605028644
2018-11-01,527.0169067382812,0.100164929593876,0.0226921718840269,0.0054852146092496,0.0946797149846264,140.8,0.0007107320540158,126.1,-0.0504518072289157,7.78,-0.1399999999999996,69.91999816894531,-0.0506449868249215
2018-12-01,506.1177062988281,-0.0396556546331667,-0.0039896542071574,0.0055073089190775,-0.0451629635522441,140.1,-0.004971590909091,133.9,0.0618556701030927,7.37,-0.4100000000000001,69.92250061035156,3.579006681619923e-05
2019-01-01,553.9195556640625,0.0944480874119244,-0.0246160640248944,0.0054666354849692,0.0889814519269552,139.6,-0.0035688793718772,134.4,0.0037341299477222,7.35,-0.0200000000000004,71.12000274658203,0.0171261343026565
2019-02-01,555.6799926757812,0.0031781456237056,-0.0073346562954392,0.0048209350768535,-0.0016427894531479,139.9,0.0021489971346706,127.6,-0.0505952380952381,7.43,0.08,71.19000244140625,0.0009842476394952
2019-03-01,615.3533935546875,0.1073880680705441,0.0553264427611593,0.0049101891678393,0.1024778789027048,140.4,0.0035739814152966,144.1,0.1293103448275863,7.41,-0.0199999999999995,69.43000030517578,-0.0247226025547485
2019-04-01,628.6918334960938,0.0216760646501916,0.0038757516325278,0.0053696718342963,0.0163063928158953,141.2,0.0056980056980056,126.5,-0.1221374045801526,7.42,0.0099999999999997,69.81179809570312,0.0054990319580754
2019-05-01,600.4124755859375,-0.0449812712738727,-0.009683498043322,0.0052814636233498,-0.0502627348972225,142.0,0.0056657223796034,135.4,0.0703557312252964,7.33,-0.0899999999999998,69.9800033569336,0.0024094102403704
2019-06-01,565.633056640625,-0.0579258765590631,-0.0239414687288391,0.0045017713832273,-0.0624276479422904,142.9,0.0063380281690141,129.3,-0.0450516986706055,6.97,-0.3600000000000003,69.32499694824219,-0.0093599082205032
2019-07-01,526.43017578125,-0.0693079734275193,-0.0674825239730533,0.0051574711354103,-0.0744654445629296,144.2,0.0090972708187542,131.8,0.0193348801237431,6.6,-0.3700000000000001,69.07749938964844,-0.0035701055822409
2019-08-01,563.5792236328125,0.0705678541250629,0.0004617091403829,0.0044082765406623,0.0661595775844006,145.0,0.0055478502080443,126.2,-0.0424886191198786,6.62,0.0200000000000004,71.6801986694336,0.0376779603022976
2019-09-01,604.9700317382812,0.0734427501401933,0.0422301611053544,0.0044337848584374,0.0690089652817559,145.8,0.0055172413793105,122.9,-0.0261489698890649,6.81,0.1899999999999995,70.49870300292969,-0.0164828737703781
